birth_date,birth_time,place,lagna,sun,moon,mars,mercury,jupiter,venus,saturn,rahu,ketu,question,prediction
1995-08-08,14:20,Lalitpur, Nepal,Leo,Cancer,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,"Career?","Mars in 1st: Self-made. Wear red coral."
1999-03-03,10:10,Kathmandu, Nepal,Pisces,Aquarius,Taurus,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,"Marriage?","Venus in 7th: Beautiful partner. Wear white."
2001-11-11,16:40,Pokhara, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,"Studies?","Mercury in 5th: Creative mind. Write daily."
1996-04-04,11:11,Biratnagar, Nepal,Aries,Pisces,Gemini,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Wealth?","Moon in 2nd: Savings habit. Keep silver coin."
1998-05-05,07:30,Chitwan, Nepal,Taurus,Leo,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Love Life?","Sun in 5th: Loyal lover. Offer water."
2000-09-09,13:15,Butwal, Nepal,Virgo,Leo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Job?","Saturn in 10th: Hard work pays. Feed crows."
1997-10-10,09:45,Dharan, Nepal,Libra,Virgo,Scorpio,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,"Future?","Jupiter in 9th: Lucky travel. Wear yellow."
1995-07-07,15:20,Lalitpur, Nepal,Cancer,Gemini,Libra,Leo,Cancer,Leo,Virgo,Capricorn,Gemini,Sagittarius,"Family?","Moon in 4th: Mother’s love. Offer milk."
1999-01-01,12:00,Kathmandu, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,"Health?","Rahu in 6th: Avoid junk. Keep black dog."
2001-02-02,08:30,Pokhara, Nepal,Aquarius,Capricorn,Libra,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,"Business?","Mercury in 11th: Network profit. Gift pen."
1996-11-11,14:15,Biratnagar, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,"Career?","Mars in 10th: Leadership. Chant Hanuman."
1998-12-12,10:00,Chitwan, Nepal,Sagittarius,Scorpio,Cancer,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,"Marriage?","Venus in 7th: Happy union. Wear diamond."
2000-01-01,16:30,Butwal, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,"Studies?","Jupiter in 5th: Topper. Donate books."
1997-05-05,11:45,Dharan, Nepal,Taurus,Leo,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Wealth?","Saturn in 2nd: Slow wealth. Keep iron."
1995-06-06,07:15,Lalitpur, Nepal,Gemini,Taurus,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Love Life?","Moon in 5th: Pure love. Offer sweets."
1999-10-10,13:00,Kathmandu, Nepal,Libra,Virgo,Scorpio,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,"Job?","Sun in 10th: Respect job. Wear ruby."
2001-03-03,09:30,Pokhara, Nepal,Pisces,Aquarius,Taurus,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,"Future?","Ketu in 12th: Spiritual growth. Meditate."
1996-08-08,15:15,Biratnagar, Nepal,Leo,Cancer,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,"Family?","Jupiter in 4th: Big family. Plant tulsi."
1998-07-07,12:12,Chitwan, Nepal,Cancer,Gemini,Libra,Leo,Cancer,Leo,Virgo,Capricorn,Gemini,Sagittarius,"Health?","Mars in 6th: Strong immunity. Donate blood."
2000-04-04,08:45,Butwal, Nepal,Aries,Pisces,Gemini,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Business?","Mercury in 7th: Partner success. Gift green."
1997-11-11,14:20,Dharan, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,"Career?","Saturn in 10th: Long career. Wear blue sapphire."
1995-09-09,10:00,Lalitpur, Nepal,Virgo,Leo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Marriage?","Venus in 11th: Gainful match. Wear white."
1999-02-02,16:30,Kathmandu, Nepal,Aquarius,Capricorn,Libra,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,"Studies?","Mercury in 9th: Research success. Donate pen."
2001-12-12,11:11,Pokhara, Nepal,Sagittarius,Scorpio,Cancer,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,"Wealth?","Jupiter in 2nd: Speech income. Chant Guru mantra."
1996-05-05,07:45,Biratnagar, Nepal,Taurus,Leo,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Love Life?","Moon in 7th: Soulmate. Keep silver glass."
1998-01-01,13:20,Chitwan, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,"Job?","Sun in 10th: High post. Offer water to Sun."
2000-10-10,09:00,Butwal, Nepal,Libra,Virgo,Scorpio,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,"Future?","Rahu in 9th: Unique path. Keep silver box."
1997-08-08,15:30,Dharan, Nepal,Leo,Cancer,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,"Family?","Jupiter in 4th: Ancestral property. Respect elders."
1995-03-03,12:12,Lalitpur, Nepal,Pisces,Aquarius,Taurus,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,"Health?","Ketu in 6th: Detox needed. Fast Thursday."
1999-04-04,08:30,Kathmandu, Nepal,Aries,Pisces,Gemini,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Business?","Mercury in 10th: E-commerce. Keep green cloth."
2001-06-06,14:15,Pokhara, Nepal,Gemini,Taurus,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Career?","Mars in 10th: Startup success. Wear red coral."
1996-07-07,10:45,Biratnagar, Nepal,Cancer,Gemini,Libra,Leo,Cancer,Leo,Virgo,Capricorn,Gemini,Sagittarius,"Marriage?","Venus in 7th: Love marriage. Gift perfume."
1998-09-09,16:20,Chitwan, Nepal,Virgo,Leo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Studies?","Jupiter in 5th: Scholarship. Donate yellow items."
2000-11-11,11:00,Butwal, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,"Wealth?","Saturn in 11th: Fixed deposit. Help laborers."
1997-02-02,07:30,Dharan, Nepal,Aquarius,Capricorn,Libra,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,"Love Life?","Moon in 5th: First love. Offer white flowers."
1995-12-12,13:15,Lalitpur, Nepal,Sagittarius,Scorpio,Cancer,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,"Job?","Sun in 10th: Manager role. Wear gold chain."
1999-05-05,09:45,Kathmandu, Nepal,Taurus,Leo,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Future?","Rahu in 12th: Foreign job. Keep black thread."
2001-01-01,15:20,Pokhara, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,"Family?","Jupiter in 2nd: Joint family. Share food."
1996-10-10,12:00,Biratnagar, Nepal,Libra,Virgo,Scorpio,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,"Health?","Mars in 1st: High energy. Play sports."
1998-03-03,08:15,Chitwan, Nepal,Pisces,Aquarius,Taurus,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,"Business?","Mercury in 11th: Online sale. Keep laptop clean."
2000-08-08,14:30,Butwal, Nepal,Leo,Cancer,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,"Career?","Saturn in 10th: Promotion delay. Be patient."
